datetime,open,high,low,close
2025-08-16 08:30:00,1184.92,1189.46,1184.66,1186.26
2025-08-16 08:35:00,1186.35,1194.74,1186.35,1194.74
2025-08-16 08:40:00,1194.86,1195.53,1191.7,1193.08
2025-08-16 08:45:00,1193.37,1197.52,1189.72,1195.82
2025-08-16 08:50:00,1195.97,1198.1,1191.45,1193.57
2025-08-16 08:55:00,1193.55,1194.72,1188.9,1190.21
2025-08-16 09:00:00,1189.98,1191.63,1187.91,1189.62
2025-08-16 09:05:00,1190.01,1190.75,1187.03,1188.39
2025-08-16 09:10:00,1188.02,1188.47,1179.64,1180.83
2025-08-16 09:15:00,1180.57,1182.63,1178.41,1182.63
2025-08-16 09:20:00,1183.01,1184.06,1179.07,1181.8
2025-08-16 09:25:00,1181.42,1183.86,1180.44,1182.61
2025-08-16 09:30:00,1182.96,1186.77,1181.51,1186.75
2025-08-16 09:35:00,1186.53,1187.25,1183.51,1183.53
2025-08-16 09:40:00,1183.64,1185.24,1181.08,1185.23
2025-08-16 09:45:00,1185.4,1187.99,1182.77,1187.99
2025-08-16 09:50:00,1188.21,1189.76,1186.03,1186.93
2025-08-16 09:55:00,1186.78,1187.36,1181.81,1182.05
2025-08-16 10:00:00,1182.11,1183.81,1179.63,1183.06
2025-08-16 10:05:00,1182.64,1186.92,1182.26,1185.49
2025-08-16 10:10:00,1185.63,1187.48,1182.77,1182.77
2025-08-16 10:15:00,1183.03,1187.96,1182.67,1186.17
2025-08-16 10:20:00,1186.44,1193.53,1186.31,1193.3
2025-08-16 10:25:00,1192.92,1194.3,1189.59,1191.87
2025-08-16 10:30:00,1191.8,1192.4,1186.52,1187.55
2025-08-16 10:35:00,1188.08,1191.01,1186.07,1187.28
2025-08-16 10:40:00,1187.52,1189.87,1185.04,1185.65
2025-08-16 10:45:00,1185.21,1185.21,1181.84,1183.38
2025-08-16 10:50:00,1183.36,1184.04,1180.83,1183.61
2025-08-16 10:55:00,1183.59,1187.05,1181.54,1183.97
2025-08-16 11:00:00,1183.88,1189.01,1182.75,1188.5
2025-08-16 11:05:00,1188.88,1192.17,1187.46,1188.19
2025-08-16 11:10:00,1188.34,1198.1,1188.02,1194.56
2025-08-16 11:15:00,1195.0,1198.08,1193.6,1196.68
2025-08-16 11:20:00,1196.24,1199.43,1193.55,1198.88
2025-08-16 11:25:00,1198.98,1199.18,1192.65,1192.65
2025-08-16 11:30:00,1193.0,1195.91,1192.46,1195.91
2025-08-16 11:35:00,1195.59,1200.15,1195.59,1196.27
2025-08-16 11:40:00,1196.53,1196.53,1186.57,1186.62
2025-08-16 11:45:00,1187.01,1190.2,1185.92,1188.66
2025-08-16 11:50:00,1188.46,1191.19,1186.67,1187.46
2025-08-16 11:55:00,1187.15,1187.92,1185.65,1186.43
2025-08-16 12:00:00,1186.85,1188.42,1184.18,1187.44
2025-08-16 12:05:00,1187.17,1191.33,1186.72,1190.09
2025-08-16 12:15:00,1189.36,1193.71,1188.7,1188.92
2025-08-16 12:20:00,1188.55,1190.62,1187.32,1187.92
2025-08-16 12:25:00,1187.78,1192.08,1184.93,1188.63
2025-08-16 12:30:00,1188.55,1188.99,1182.52,1183.27
2025-08-16 12:35:00,1185.79,1188.67,1185.53,1188.67
2025-08-16 12:40:00,1188.94,1193.98,1188.09,1192.17
2025-08-16 12:45:00,1192.8,1195.8,1191.78,1191.78
